"modelname","period","model","rmse","mape","auc","proj","type"
"rf","test","RF",0.0845544273755977,0.0636479189592593,0.8516970834044,-7,"nowcast"
"rf","test","RF",0.0867081186147577,0.0663088970778788,0.855193586900904,-6,"nowcast"
"rf","test","RF",0.0875971263876148,0.0674803777588658,0.855193586900904,-5,"nowcast"
"rf","test","RF",0.0883841293036436,0.068627581905278,0.848200579907897,-4,"nowcast"
"rf","test","RF",0.0881152123675424,0.069441029708194,0.834339369550637,-3,"nowcast"
"rf","test","RF",0.0892983914684712,0.0707956670381817,0.8244268513937,-2,"nowcast"
"rf","test","RF",0.091286234684645,0.0717592935324364,0.814935064935065,-1,"nowcast"
"rf","test","RF",0.0930284933201181,0.0730312580855974,0.805835331734612,0,"nowcast"
"rf","test","RF",0.0988234998595907,0.0805603760560014,0.775845410628019,1,"forecast"
"rf","test","RF",0.101877525829696,0.0846819942722967,0.760502838605028,2,"forecast"
"rf","test","RF",0.104468515422603,0.0884198369301154,0.745098039215686,3,"forecast"
"rf","test","RF",0.107760200209478,0.0924164153151735,0.72962962962963,4,"forecast"
"rf","test","RF",0.111068387360519,0.0962772139246547,0.714096185737977,5,"forecast"
"rf","test","RF",0.114328443296297,0.100134595228999,0.698496240601504,6,"forecast"
"rf","test","RF",0.117887678492684,0.103982707362177,0.682828282828283,7,"forecast"
"rf","train","RF",0.174632456028974,0.159830961113037,0.888296417828821,0,"nowcast"
"rf","train","RF",0.181493541948031,0.182099706524548,0.888296417828821,1,"forecast"
"rf","train","RF",0.160272198975432,0.139991557755246,0.890484003281378,2,"forecast"
"rf","train","RF",0.179117955295118,0.158600898800736,0.873803664205633,3,"forecast"
"rf","train","RF",0.198319025556386,0.181465459960035,0.857123325129888,4,"forecast"
"rf","train","RF",0.214794502162298,0.200160591555513,0.840442986054143,5,"forecast"
"rf","train","RF",0.230202714781879,0.218447136044005,0.831971677559913,6,"forecast"
"rf","train","RF",0.244620512764424,0.236102147469946,0.823744911804613,7,"forecast"
"rf","valid","RF",0.156384617666941,0.160921089233613,0.644927536231884,-13,"nowcast"
"rf","valid","RF",0.178319140839188,0.186883828694514,0.559006211180124,-12,"nowcast"
"rf","valid","RF",0.195533992680446,0.209939497064521,0.544513457556936,-11,"nowcast"
"rf","valid","RF",0.207417124215082,0.226400634513192,0.537267080745342,-10,"nowcast"
"rf","valid","RF",0.218595563700018,0.24100317462967,0.537267080745342,-9,"nowcast"
"rf","valid","RF",0.225783378853723,0.252363695949347,0.537267080745342,-8,"nowcast"
"rf","valid","RF",0.229547880736111,0.259785437316936,0.537267080745342,-7,"nowcast"
"rf","valid","RF",0.232846040401116,0.265336831101729,0.537267080745342,-6,"nowcast"
"rf","valid","RF",0.23619136745311,0.271350932232302,0.537267080745342,-5,"nowcast"
"rf","valid","RF",0.237380766120774,0.274164728196939,0.513457556935818,-4,"nowcast"
"rf","valid","RF",0.236920756817956,0.275254074723305,0.537267080745342,-3,"nowcast"
"rf","valid","RF",0.235188464566326,0.274646391867229,0.537267080745342,-2,"nowcast"
"rf","valid","RF",0.231272091429015,0.269765193185345,0.537267080745342,-1,"nowcast"
"rf","valid","RF",0.227691115608781,0.265625320257548,0.537267080745342,0,"nowcast"
"rf","valid","RF",0.233096410756395,0.270045592351489,0.475155279503106,1,"forecast"
"rf","valid","RF",0.232691426761963,0.268478256379446,0.444099378881988,2,"forecast"
"rf","valid","RF",0.232927132192631,0.266299464227698,0.41304347826087,3,"forecast"
"rf","valid","RF",0.234779934278545,0.265439517510453,0.41304347826087,4,"forecast"
"rf","valid","RF",0.236319338217041,0.27289029239277,0.414285714285714,5,"forecast"
"rf","valid","RF",0.237329767925947,0.279384252913724,0.415492957746479,6,"forecast"
"rf","valid","RF",0.239873107462475,0.28538848780429,0.416666666666667,7,"forecast"
"svr_L","test","SVR_L",0.0501233900346748,0.0371700236010849,0.893655125362442,-13,"nowcast"
"svr_L","test","SVR_L",0.0513582020788308,0.038346738030195,0.893655125362442,-12,"nowcast"
"svr_L","test","SVR_L",0.0516829913780663,0.0393884989979162,0.893655125362442,-11,"nowcast"
"svr_L","test","SVR_L",0.0517644034813719,0.040025121333698,0.893655125362442,-10,"nowcast"
"svr_L","test","SVR_L",0.05181230627664,0.0405749610024937,0.893655125362442,-9,"nowcast"
"svr_L","test","SVR_L",0.0519062521481657,0.0409687805319037,0.893655125362442,-8,"nowcast"
"svr_L","test","SVR_L",0.0530542321578863,0.0421354558282358,0.893655125362442,-7,"nowcast"
"svr_L","test","SVR_L",0.0542398665368413,0.0432851181955879,0.893655125362442,-6,"nowcast"
"svr_L","test","SVR_L",0.0557835812408749,0.0445405944327285,0.890158621865939,-5,"nowcast"
"svr_L","test","SVR_L",0.0579668325686338,0.0459162877136978,0.890158621865939,-4,"nowcast"
"svr_L","test","SVR_L",0.060789278943474,0.0471314895365672,0.873071763916834,-3,"nowcast"
"svr_L","test","SVR_L",0.063543593559075,0.0484368571372419,0.863433943592281,-2,"nowcast"
"svr_L","test","SVR_L",0.067175600794611,0.0497874073436329,0.850649350649351,-1,"nowcast"
"svr_L","test","SVR_L",0.0704495299102973,0.0513003146909055,0.841806554756195,0,"nowcast"
"svr_L","test","SVR_L",0.0736622186266382,0.0576759663002686,0.81207729468599,1,"forecast"
"svr_L","test","SVR_L",0.0761368626841406,0.0611109568492374,0.796999188969992,2,"forecast"
"svr_L","test","SVR_L",0.0787533236377487,0.0645665140353344,0.781862745098039,3,"forecast"
"svr_L","test","SVR_L",0.0820816380063484,0.067826623923701,0.766666666666667,4,"forecast"
"svr_L","test","SVR_L",0.085870400334472,0.0714480446210618,0.751409618573798,5,"forecast"
"svr_L","test","SVR_L",0.0900521680156474,0.0750656081474297,0.73609022556391,6,"forecast"
"svr_L","test","SVR_L",0.094030153419922,0.0791539863177334,0.720707070707071,7,"forecast"
"svr_L","train","SVR_L",0.165458136512793,0.187327003675565,0.968826907301066,0,"nowcast"
"svr_L","train","SVR_L",0.180170017087402,0.208914612810908,0.911539513262237,1,"forecast"
"svr_L","train","SVR_L",0.106468993295988,0.117076543548388,0.921657095980312,2,"forecast"
"svr_L","train","SVR_L",0.121615871097728,0.123205082188712,0.904976756904567,3,"forecast"
"svr_L","train","SVR_L",0.136307635306262,0.142056841418773,0.907164342357123,4,"forecast"
"svr_L","train","SVR_L",0.148276050470675,0.152390714597918,0.890484003281378,5,"forecast"
"svr_L","train","SVR_L",0.160150990254853,0.163782970745518,0.881808278867102,6,"forecast"
"svr_L","train","SVR_L",0.172296235487467,0.177174446333046,0.873405698778833,7,"forecast"
"svr_L","valid","SVR_L",0.187053520689215,0.194491503617062,0.694616977225673,-13,"nowcast"
"svr_L","valid","SVR_L",0.208900285158568,0.218891460592644,0.680124223602485,-12,"nowcast"
"svr_L","valid","SVR_L",0.225753015807071,0.237558107181224,0.687370600414079,-11,"nowcast"
"svr_L","valid","SVR_L",0.239625484795476,0.25552321618189,0.67287784679089,-10,"nowcast"
"svr_L","valid","SVR_L",0.249125443600789,0.268634469842775,0.627329192546584,-9,"nowcast"
"svr_L","valid","SVR_L",0.257103638546615,0.279535995737652,0.596273291925466,-8,"nowcast"
"svr_L","valid","SVR_L",0.262782669846753,0.287827017437135,0.627329192546584,-7,"nowcast"
"svr_L","valid","SVR_L",0.267479813583946,0.297059975104834,0.627329192546584,-6,"nowcast"
"svr_L","valid","SVR_L",0.273850079373235,0.302315840179107,0.62008281573499,-5,"nowcast"
"svr_L","valid","SVR_L",0.273945259081001,0.3023363033609,0.596273291925466,-4,"nowcast"
"svr_L","valid","SVR_L",0.267814396561749,0.296141360365191,0.58695652173913,-3,"nowcast"
"svr_L","valid","SVR_L",0.264713024086957,0.293081745989641,0.601449275362319,-2,"nowcast"
"svr_L","valid","SVR_L",0.260266619278805,0.288203192454306,0.592132505175983,-1,"nowcast"
"svr_L","valid","SVR_L",0.256979063637801,0.282455430045342,0.56832298136646,0,"nowcast"
"svr_L","valid","SVR_L",0.265552418940856,0.297022976434903,0.530020703933747,1,"forecast"
"svr_L","valid","SVR_L",0.267329014974926,0.297449153311011,0.498964803312629,2,"forecast"
"svr_L","valid","SVR_L",0.270259146473481,0.300928953641377,0.467908902691511,3,"forecast"
"svr_L","valid","SVR_L",0.272981252769429,0.302132255586054,0.436853002070393,4,"forecast"
"svr_L","valid","SVR_L",0.274828737458856,0.303694082203749,0.407142857142857,5,"forecast"
"svr_L","valid","SVR_L",0.275854197020075,0.306229397437949,0.408450704225352,6,"forecast"
"svr_L","valid","SVR_L",0.277673886764874,0.310259288685559,0.409722222222222,7,"forecast"
"ridge","test","RIDGE",0.0536122614067896,0.0363838943244189,0.902353743817158,-13,"nowcast"
"ridge","test","RIDGE",0.053556312639833,0.0370821987100303,0.902353743817158,-12,"nowcast"
